name;xMax;xMin;yMax;yMin
all villages;34.5868119099577;34.2049782936793;-13.4528276322358;-13.9548417567836
Mwanza;3820215.0262649814;3807680.765717326;-1511801.521571108;-1523819.6220512525
Kambwiri;3845305.7843308053;3823962.710621613;-1549475.5352860342;-1560754.707681619
Pemba;3846401.786679254;3839532.057942964;-1554508.3262045567;-1564561.1373114355
Msosa;3827249.774958494;3823357.9233349026;-1513200.6285187332;-1521646.6625941936
Ndindi;3844576.352759402;3831876.3170091724;-1563794.6101444717;-1567923.6156138491
Kalonga;3840605.2368393787;3816178.3312949347;-1545162.5907348956;-1563070.783896804
Maganga;3849299.7621699036;3836869.685342914;-1550854.0738921107;-1560550.5668444107
Khombedza;3824251.121228855;3813035.981213944;-1515193.2041429784;-1530569.1879459806
